.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese
// ICONS
ICON_SKILL_STRENGTH,,,,,,,,,
ICON_SKILL_AGILITY,,,,,,,,,
ICON_SKILL_OBSERVATION,,,,,,,,,
ICON_SKILL_LORE,,,,,,,,,
ICON_SKILL_INFLUENCE,,,,,,,,,
ICON_SKILL_WILL,,,,,,,,,
ICON_ACTION,,,,,,,,,
ICON_SUCCESS_RESULT,,,,,,,,,
ICON_INVESTIGATION_RESULT,,,,,,,,,
ICON_PRODUCT_MAD00
ICON_PRODUCT_MAD01,,,,,,,,,
ICON_PRODUCT_MAD06,,,,,,,,,
ICON_PRODUCT_MAD09,,,,,,,,,
ICON_PRODUCT_MAD20,,,,,,,,,
ICON_PRODUCT_MAD21,,,,,,,,,
ICON_PRODUCT_MAD22,,,,,,,,,
ICON_PRODUCT_MAD23,,,,,,,,,

// TEXTS

ABILITY,Ability,Capacidad,,Fähigkeit,Abilità,,,能力,
ABOUT,About,Acerca de,,Über Valkyie,Informazioni su,,,詳細,
ABOUT_FFG,"Valkyrie is a game master helper tool inspired by Fantasy Flight Games' Descent: Road to Legend.  Most images used are imported from FFG applications are are copyright FFG and other rights holders.","Valkyrie es una App de ayuda de director de juego inspirada por Descent: Camino a Leyenda, de Fantasy Flight Games. La mayoría de las imágenes utilizadas se importan de la aplicación de FFG y son propiedad de FFG con todos los derechos reservados.",,"Valkyrie ist ein durch Fantasy Flight Games' Descent: Road to Legend inspiriertes Gamemaster-Tool. Die meisten Bildressources werden aus FFG-Anwendungen importiert und unterliegen daher dem Copyright von FGG und anderen Rechteinhabern.","Valkyrie è uno strumento di supporto ispirato da Descent: La Via per la Leggenda della Fantasy Flight Games.  Molte delle immagini utilizzate sono importate dalle applicazioni FFG che sono soggette a copyright FFG e diritti di terzi.",,,"Valkyrie は FFG のゲーム Descent: Road to Legend にインスパイアされたゲームマスターのためのツールです．ほとんどの画像は FFG のアプリケーションから使用しており，著作権はFFGおよびその他の権利者に帰属します．",
ABOUT_LIBS,"Valkyrie uses DotNetZip-For-Unity and has code derived from Unity Studio and .NET Ogg Vorbis Encoder.","Valkyrie utiliza DotNetZip-For-Unity y posee código derivado de Unity Studio y .NET Ogg Vorbis Encoder.",,"Valkyrie benutzt DotNetZip-For-Unity und enthält Code der auf Unity Studio und dem .NET Vorbis Encoder aufbaut.","Valkyrie utilizza DotNetZip-For-Unity e codici derivanti da Unity Studio e .NET Ogg Vorbis Encoder",,,"Valkyrie は DotNetZip-For-Unity と Unity Studio and .NET Ogg Vorbis Encoder からの派生コードを使用しています．",
ACTIONS,Actions,Acciones,,Aktionen,Azioni,,,アクション,
ACTIVATED,Activated,Activado,,Aktiviert,Attivo,,,活動中の,
ACTIVATION,Activation,Activación,,Aktivierung,Attivazione,,,活動,
ACTIVATIONS,Activations,Activaciones,,Aktivierungen,Attivazioni,,,活動,
ADD_COMPONENTS,"Add Components:","Añadir Componentes:",,Erweiterungen hinzufügen:,"Aggiunge Contenuti",,,コンポーネントの追加,
ASSIGN,Assign,Asignar,,Hinzu,Assegna,,,割当て,
ATTACK,Attack,Atacar,,Angriff,Attacca,,,攻撃,
ATTACK_MESSAGE,Attack Message:,Mensaje Ataca:,,Angriffsmeldung:,Messaggio d'attacco,,,攻撃メッセージ,
AUDIO,Audio,Audio,,Audio,Audio,,,音声,
BACK,Back,Volver,,Zurück,Indietro,,,戻る,
BASE,Base,Base,,Basis,Base,,,基本,
BUTTONS,Buttons,Botones,,Buttons,Pulsanti,,,ボタン,
CAMERA,Camera,Cámara,,Kamera,Camera,,,カメラ,
CANCEL,Cancel,Cancelar,,Abbrechen,Annulla,,,キャンセル,
CHOOSE_LANG,Choose Language,Elige Idioma,,Sprache wählen,Lingua,,,言語を選択してください,
CLEAR_FIRE,Clear Fire,Quitar fuego,,Feuer gelöscht,Incendio Estinto,,,,
COLOR,Colour,Color,,Farbe,Colore,,,色,
COMPONENT_NAME,Component Name:,Nombre del Componente:,,Name der Erweiterung,Contenuto,,,コンポーネント名称,
COMPONENT_TO_DELETE,"Component to Delete:","Componente a Eliminar:",,"Zu löschende Erweiterung:","Contenuto da Eliminare",,,削除するコンポーネント,
CONTENT_IMPORT,Import Content,Importar Contenido,,Importiere Inhalt,Contenuto Importante,,,コンポーネントのインポート,
CONTENT_IMPORTING,Importing...,Importando...,,Importiere...,Importante...,,,インポート中,
CONTENT_REIMPORT,Reimport Content,Reimportar Contenido,,Reimportiere Inhalt,Reimporta Contenuto,,,コンポーネントの再インポート,
COPY,Copy,Copiar,,Kopieren,Copia,,,コピー,
CUSTOM_MONSTER,CustomMonster,Monstruo Personalizado,,Spezial-Monster,Mostro personalizzato,,,,
D2E_APP_NOT_FOUND,"Unable to locate Road to Legend, install via Steam","Imposible localizar ""Road to Legend"", instalar desde Steam",,"""Road to Legend""-Installation konnte nicht gefunden werden, bitte über Steam installieren","Impossibile trovare "Road of Legend", installato con Steam",,,"Road to Legend が見つかりません．Steamからインストールしてください．",
D2E_HEROES_NAME,Heroes,Héroes,,Helden,Eroi,,,英雄,
D2E_HERO_NAME,Hero,Héroe,,Held,Eroe,,,英雄,
D2E_NAME,Descent: Journeys in the Dark Second Edition,Descent: Viaje a las Profundidades Segunda Edición,,Descent 2. Edition: Die Reise ins Dunkel,Descent: Viaggi nelle Tenebre - Seconda Edizione,,,ディセント第２版,
D2E_QUEST_NAME,Quest,Aventura,,Quest,Scenario,,,クエスト,
DEFEATED,Defeated,Derrotado,,Besiegt,Sconfitta,,,倒された,
DELAYED_EVENTS,"DEPRECIATED Delayed Events:",DEPRECIADO Eventos Atrasados:,,"DEPRECIATED Verzögerte Ereignisse:",Eventi tardivi "DEPREZZATO,,,,
DELETE,Delete,Eliminar,,Löschen,Cancella,,,削除,
DIALOG,Dialog,Diálogo,,Dialog,Dialogo,,,ダイアログ,
DOOR,Door,Puerta,,Tür,Porta,,,扉,
DOWNLOAD,Download,Descargar,,Download,Scaricamento,,,ダウンロード,
E,E,E,,E,E,,,E,
EFFECTS,Effects,Efectos,,Auswirkungen,Effetti,,,効果,
